announcement_date,effective_date,stock_name,action,symbol
2022-02-24,2022-03-25,Apollo Hospitals Enterprise Ltd.,Inclusion,APOLLOHOSP
2022-02-24,2022-03-25,Indian Oil Corporation Ltd.,Exclusion,IOC
2024-02-28,2024-03-29,Shriram Finance Ltd.,Inclusion,SHRIRAMFIN
2024-02-28,2024-03-29,UPL Ltd.,Exclusion,UPL
2024-08-23,2024-09-30,Divi's Laboratories Ltd.,Exclusion,DIVISLAB
2024-08-23,2024-09-30,Trent Ltd.,Inclusion,TRENT
2024-08-23,2024-09-30,Bharat Electronics Ltd.,Inclusion,BEL
2024-08-23,2024-09-30,LTIMindtree Ltd.,Exclusion,LTIM
2025-02-21,2025-03-28,Bharat Petroleum Corporation Ltd.,Exclusion,BPCL
2025-02-21,2025-03-28,Britannia Industries Ltd.,Exclusion,BRITANNIA
2025-02-21,2025-03-28,Jio Financial Services Ltd.,Inclusion,JIOFIN
2025-02-21,2025-03-28,Zomato Ltd.,Inclusion,ZOMATO
2025-08-22,2025-09-26,Hero MotoCorp Ltd.,Exclusion,HEROMOTOCO
2025-08-22,2025-09-26,InterGlobe Aviation Ltd.,Inclusion,INDIGO
2025-08-22,2025-09-26,IndusInd Bank Ltd.,Exclusion,INDUSINDBK
2025-08-22,2025-09-26,Max Healthcare Institute Ltd.,Inclusion,MAXHEALTH
